Customer ID,Total_Sales,Total_Profit,Total_Orders,Segment
AA-10315,5563.56,-362.8825,5,Mid Value
AA-10375,1056.39,277.3824,9,Low Value
AA-10480,1790.5120000000002,435.8274,4,Mid Value
AA-10645,5086.9349999999995,857.8033,6,VIP
AB-10015,886.156,129.3465,3,Mid Value
AB-10060,7755.62,2054.5885,8,VIP
AB-10105,14473.570999999998,5444.8055,10,High Value
AB-10150,966.71,313.6597,5,Mid Value
AB-10165,1113.838,220.813,8,Low Value
AB-10255,914.5319999999999,264.5675,9,Low Value
AB-10600,1515.862,-274.9604,4,Mid Value
AC-10420,925.8,-62.1342,3,Mid Value
AC-10450,5527.846,1366.0098,7,VIP
AC-10615,2537.6859999999997,298.8273,5,Mid Value
AC-10660,657.316,-28.700399999999995,5,Mid Value
AD-10180,6106.88,1869.9294,8,VIP
AF-10870,2052.908,317.9712,7,Low Value
AF-10885,861.565,-163.1175,4,Mid Value
AG-10270,2582.898,732.7399,5,Mid Value
AG-10300,367.548,59.288399999999996,4,Mid Value
AG-10330,660.972,-5.137100000000006,5,Mid Value
AG-10390,200.945,69.2784,5,Mid Value
AG-10495,2356.855,295.6668,8,Low Value
AG-10525,1455.038,-152.7613,4,Mid Value
AG-10675,3489.0396000000005,-246.42570000000003,7,Low Value
AG-10765,170.584,-8.431000000000001,4,Mid Value
AG-10900,4510.797,343.6824,10,Low Value
AH-10030,1744.7,365.2152,7,Low Value
AH-10075,3250.337,281.189,10,Low Value
AH-10120,1735.5140000000001,-2.3145999999999773,7,Low Value
AH-10195,1587.452,-378.5509,4,Mid Value
AH-10210,4805.344,1308.5546,9,VIP
AH-10465,2495.3916,-196.12009999999998,5,Mid Value
AH-10585,738.504,83.96300000000001,4,Mid Value
AH-10690,7888.294,1298.0166,12,VIP
AI-10855,4375.786,867.7271000000001,10,VIP
AJ-10780,4867.344,150.71300000000005,7,Low Value
AJ-10795,4501.391,1158.7064,7,VIP
AJ-10945,1839.24,521.1351999999999,7,Low Value
AJ-10960,629.2479999999999,60.4265,3,Mid Value
AM-10360,814.012,194.9878,5,Mid Value
AM-10705,5664.022,1085.7326,8,VIP
AO-10810,161.28,12.096,1,Mid Value
AP-10720,1638.554,285.7888,8,Low Value
AP-10915,3323.556,579.3113,10,Low Value
AR-10345,1055.694,-221.0544,4,Mid Value
AR-10405,2236.128,-98.7646,5,Mid Value
AR-10510,264.86400000000003,43.6695,5,Mid Value
AR-10540,6608.448,2884.6208,6,VIP
AR-10570,88.15,32.633,1,Mid Value
AR-10825,4523.336,494.83519999999993,8,Low Value
AS-10045,3050.692,-253.57459999999998,7,Low Value
AS-10090,3255.31,64.53739999999998,9,Low Value
AS-10135,58.82,21.8496,2,Mid Value
AS-10225,4260.784,719.7751000000001,5,Mid Value
AS-10240,584.6080000000001,33.715799999999994,7,Low Value
AS-10285,3214.236,354.62760000000003,6,Mid Value
AS-10630,833.398,136.49190000000002,7,Low Value
AT-10435,1171.814,100.87680000000002,6,Mid Value
AT-10735,3831.864,974.107,10,Low Value
AW-10840,649.376,65.77250000000001,4,Mid Value
AW-10930,2852.968,-104.5486,7,Low Value
AY-10555,497.014,103.3499,4,Mid Value
AZ-10750,1622.0179999999998,154.9503,6,Mid Value
BB-10990,744.3399999999999,11.583900000000007,5,Mid Value
BB-11545,6765.728,1015.0749999999999,9,VIP
BC-11125,2933.676,251.5974,9,Low Value
BD-11320,5718.521,1094.5037,12,VIP
BD-11500,4411.2429999999995,1142.1225,6,VIP
BD-11560,320.54,116.714,2,Mid Value
BD-11605,3288.471,634.8463,7,Low Value
BD-11620,1538.11,206.75689999999997,6,Mid Value
BD-11635,582.646,141.53400000000002,3,Mid Value
BD-11725,1526.5,333.9791,6,Mid Value
BD-11770,658.466,141.265,6,Mid Value
BE-11335,4204.676,1487.7739000000001,5,VIP
BE-11410,2261.438,755.9150999999999,5,Mid Value
BE-11455,1727.652,139.20080000000002,6,Mid Value
BF-10975,599.798,227.4384,7,Low Value
BF-11005,1333.88,-291.38109999999995,4,Mid Value
BF-11020,2888.506,302.02,8,Low Value
BF-11080,272.95,110.9272,3,Mid Value
BF-11170,5907.972,1538.2127,11,VIP
BF-11215,1585.162,523.2133,4,Mid Value
BF-11275,791.9899999999999,25.870199999999997,3,Mid Value
BG-11035,2798.948,-711.4274,8,Low Value
BG-11695,1874.172,107.5715,6,Mid Value
BG-11740,1006.356,119.34790000000001,6,Mid Value
